"mon_feature_id","date_time","sample_begin_depth","institution_abbr","preservative_abbr","Ca_Diss_Water","Cl_Diss_Water","DMS_Tot_Water","EC_Phys_Water","F_Diss_Water","K_Diss_Water","Mg_Diss_Water","Na_Diss_Water","NH4_N_Diss_Water","NO3_NO2_N_Diss_Water","P_Tot_Water","pH_Diss_Water","PO4_P_Diss_Water","Si_Diss_Water","SO4_Diss_Water","TAL_Diss_Water","Station","Qat"
102620,1981-06-29 16:00:00,0,"DWS-RQIS","NONE",10.5,20.3,128,19.1,0.19,0.54,5.4,17.1,0.05,0.02,#n/a,6.6,0.003,5.71,16.7,46.9,"U1H006Q01","U10M"
102620,1981-07-06 16:00:00,0,"DWS-RQIS","NONE",#n/a,#n/a,#n/a,18.9,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,"U1H006Q01","U10M"
102620,1981-07-13 16:00:00,0,"DWS-RQIS","NONE",#n/a,#n/a,#n/a,19.1,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,"U1H006Q01","U10M"
102620,1981-07-20 16:00:00,0,"DWS-RQIS","NONE",#n/a,#n/a,#n/a,19.8,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,"U1H006Q01","U10M"
102620,1981-09-14 16:00:00,0,"DWS-RQIS","NONE",5.9,8,77,9.2,0.11,1.43,3.1,8.5,0.04,0.25,#n/a,6.4,0.02,6.15,17.2,25.9,"U1H006Q01","U10M"
102620,1981-09-21 16:00:00,0,"DWS-RQIS","NONE",#n/a,#n/a,#n/a,9.8,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,"U1H006Q01","U10M"
102620,1981-09-28 16:00:00,0,"DWS-RQIS","NONE",#n/a,#n/a,#n/a,13,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,"U1H006Q01","U10M"
102620,1981-10-05 16:00:00,0,"DWS-RQIS","NONE",#n/a,#n/a,#n/a,14.5,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,"U1H006Q01","U10M"
102620,1982-03-08 16:00:00,0,"DWS-RQIS","NONE",#n/a,#n/a,#n/a,4.9,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,"U1H006Q01","U10M"
102620,1982-03-15 16:00:00,0,"DWS-RQIS","NONE",#n/a,#n/a,#n/a,5.9,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,"U1H006Q01","U10M"
102620,1982-03-22 16:00:00,0,"DWS-RQIS","NONE",#n/a,#n/a,#n/a,5.8,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,"U1H006Q01","U10M"
